file, hardcoded-secret, empty-password, use of http, improper ip address binding, suspicious comment, no-integrity-check, total
script-456.yaml, 0, 0, 0, 0, 0, 0, 0
script-484.yaml, 1, 0, 0, 0, 0, 0, 1
script-767.yaml, 0, 0, 0, 0, 0, 0, 0
script-293.yaml, 0, 0, 0, 0, 0, 0, 0
script-1098.yaml, 1, 0, 0, 0, 0, 0, 1
script-451.yaml, 0, 0, 0, 0, 0, 0, 0
script-79.yaml, 0, 0, 0, 0, 0, 0, 0
script-624.yaml, 0, 0, 0, 0, 0, 0, 0
script-507.yaml, 4, 0, 0, 0, 0, 0, 4
script-530.yaml, 1, 0, 0, 0, 0, 0, 1
script-933.yaml, 1, 0, 0, 0, 0, 0, 1
script-275.yaml, 0, 0, 0, 0, 0, 0, 0
script-457.yaml, 0, 0, 0, 0, 0, 0, 0
script-218.yaml, 0, 0, 0, 0, 0, 0, 0
script-347.yaml, 0, 0, 0, 0, 0, 0, 0
script-733.yaml, 0, 0, 0, 0, 0, 0, 0
script-935.yaml, 1, 0, 0, 0, 0, 0, 1
script-606.yaml, 0, 0, 0, 0, 0, 0, 0
script-20.yaml, 1, 0, 0, 0, 0, 0, 1
script-1000.yaml, 0, 0, 0, 0, 0, 0, 0
script-314.yaml, 0, 0, 0, 0, 0, 0, 0
script-568.yaml, 0, 0, 0, 0, 0, 0, 0
script-620.yaml, 0, 0, 0, 0, 3, 0, 3
script-1031.yaml, 0, 0, 0, 0, 0, 0, 0
script-812.yaml, 0, 0, 0, 0, 0, 0, 0
script-645.yaml, 0, 0, 0, 0, 0, 0, 0
script-520.yaml, 2, 0, 0, 0, 0, 0, 2
script-80.yaml, 0, 0, 0, 0, 0, 0, 0
script-1014.yaml, 0, 0, 0, 0, 2, 0, 2
script-588.yaml, 1, 0, 0, 0, 0, 0, 1
script-180.yaml, 1, 0, 0, 0, 0, 0, 1
script-646.yaml, 0, 0, 0, 0, 0, 0, 0
script-188.yaml, 0, 0, 0, 0, 0, 0, 0
script-873.yaml, 0, 0, 0, 0, 0, 0, 0
script-557.yaml, 0, 0, 0, 0, 0, 0, 0
script-931.yaml, 1, 0, 0, 0, 0, 0, 1
script-751.yaml, 0, 0, 0, 0, 0, 0, 0
script-298.yaml, 0, 0, 0, 0, 0, 0, 0
script-17.yaml, 3, 0, 1, 0, 0, 2, 6
script-871.yaml, 0, 0, 0, 0, 0, 0, 0
script-901.yaml, 0, 0, 0, 0, 0, 0, 0
script-334.yaml, 0, 0, 0, 0, 0, 0, 0
script-450.yaml, 0, 0, 0, 0, 1, 0, 1
script-965.yaml, 0, 0, 0, 0, 0, 0, 0
script-169.yaml, 0, 0, 0, 0, 0, 0, 0
script-1066.yaml, 0, 0, 0, 0, 0, 0, 0
script-969.yaml, 1, 0, 0, 0, 1, 0, 2
script-625.yaml, 1, 0, 0, 0, 0, 0, 1
script-489.yaml, 0, 0, 0, 0, 0, 0, 0
script-448.yaml, 0, 0, 0, 0, 0, 0, 0
script-424.yaml, 0, 0, 0, 0, 1, 0, 1
script-232.yaml, 0, 0, 0, 0, 0, 0, 0
script-48.yaml, 0, 0, 0, 0, 0, 0, 0
script-193.yaml, 0, 0, 0, 0, 0, 0, 0
script-774.yaml, 7, 0, 0, 0, 0, 0, 7
script-785.yaml, 1, 0, 0, 0, 0, 0, 1
script-182.yaml, 12, 1, 0, 0, 3, 0, 16
script-164.yaml, 0, 0, 0, 0, 0, 0, 0
script-763.yaml, 0, 0, 0, 0, 0, 0, 0
script-22.yaml, 1, 0, 0, 0, 0, 0, 1
script-618.yaml, 0, 0, 0, 0, 0, 0, 0
script-473.yaml, 0, 0, 0, 0, 0, 0, 0
script-399.yaml, 0, 0, 0, 0, 0, 0, 0
script-469.yaml, 10, 0, 0, 0, 0, 0, 10
script-1064.yaml, 0, 0, 0, 0, 0, 0, 0
script-496.yaml, 3, 0, 2, 0, 0, 0, 5
script-808.yaml, 0, 0, 0, 0, 0, 0, 0
script-307.yaml, 0, 0, 0, 0, 0, 0, 0
script-826.yaml, 0, 0, 0, 0, 0, 0, 0
script-975.yaml, 0, 0, 0, 0, 0, 0, 0
script-565.yaml, 0, 0, 0, 0, 0, 0, 0
script-221.yaml, 0, 0, 0, 0, 0, 0, 0
script-758.yaml, 0, 0, 0, 0, 0, 0, 0
script-387.yaml, 0, 0, 0, 0, 0, 0, 0
script-255.yaml, 0, 0, 0, 0, 0, 0, 0
script-1061.yaml, 0, 0, 0, 0, 0, 0, 0
script-1018.yaml, 0, 0, 0, 0, 0, 0, 0
script-266.yaml, 1, 0, 0, 0, 0, 1, 2
script-849.yaml, 0, 0, 0, 0, 0, 0, 0
script-227.yaml, 0, 0, 0, 0, 0, 0, 0
script-792.yaml, 0, 0, 0, 0, 0, 0, 0
script-919.yaml, 1, 0, 0, 0, 0, 0, 1
script-89.yaml, 0, 0, 0, 0, 0, 0, 0
script-46.yaml, 0, 0, 0, 0, 0, 0, 0
script-764.yaml, 2, 0, 0, 0, 0, 0, 2
script-896.yaml, 0, 0, 0, 0, 0, 0, 0
script-644.yaml, 0, 0, 0, 0, 0, 0, 0
script-1034.yaml, 0, 0, 0, 0, 0, 0, 0
script-317.yaml, 2, 0, 0, 0, 0, 0, 2
script-695.yaml, 0, 0, 0, 0, 0, 0, 0
script-1092.yaml, 0, 0, 0, 0, 0, 0, 0
script-811.yaml, 0, 0, 0, 0, 0, 0, 0
script-1080.yaml, 1, 0, 0, 0, 0, 0, 1
script-45.yaml, 0, 0, 0, 0, 0, 0, 0
script-341.yaml, 48, 0, 0, 0, 0, 0, 48
script-52.yaml, 0, 0, 0, 0, 0, 0, 0
script-963.yaml, 0, 0, 0, 0, 0, 0, 0
script-226.yaml, 0, 0, 0, 0, 0, 0, 0
script-698.yaml, 9, 0, 0, 0, 0, 0, 9
script-433.yaml, 0, 0, 0, 0, 0, 0, 0
script-959.yaml, 0, 0, 0, 0, 0, 0, 0
script-1036.yaml, 0, 0, 0, 0, 0, 0, 0
script-1021.yaml, 0, 0, 0, 0, 0, 0, 0
script-674.yaml, 1, 0, 0, 0, 0, 0, 1
script-357.yaml, 0, 0, 0, 0, 0, 0, 0
script-704.yaml, 5, 0, 0, 0, 0, 0, 5
script-286.yaml, 0, 0, 0, 0, 0, 0, 0
script-977.yaml, 1, 0, 0, 0, 0, 0, 1
script-315.yaml, 0, 0, 0, 0, 0, 0, 0
script-875.yaml, 0, 0, 0, 0, 0, 0, 0
script-103.yaml, 0, 0, 0, 0, 0, 0, 0
script-828.yaml, 0, 0, 0, 0, 0, 0, 0
script-663.yaml, 0, 0, 0, 0, 0, 0, 0
script-316.yaml, 0, 0, 0, 0, 0, 0, 0
script-1001.yaml, 0, 0, 0, 0, 0, 0, 0
script-271.yaml, 0, 0, 0, 0, 0, 0, 0
script-724.yaml, 0, 0, 0, 0, 0, 0, 0
script-930.yaml, 0, 0, 0, 0, 0, 0, 0
script-1037.yaml, 0, 0, 0, 0, 0, 0, 0
script-607.yaml, 0, 0, 0, 0, 0, 0, 0
script-749.yaml, 0, 0, 0, 0, 0, 0, 0
script-988.yaml, 0, 0, 0, 0, 0, 0, 0
script-556.yaml, 0, 0, 0, 0, 0, 0, 0
script-214.yaml, 2, 0, 0, 0, 0, 0, 2
script-183.yaml, 0, 0, 0, 0, 0, 0, 0
script-753.yaml, 0, 0, 0, 0, 0, 0, 0
script-856.yaml, 0, 0, 0, 0, 0, 0, 0
script-337.yaml, 12, 0, 0, 0, 0, 0, 12
script-222.yaml, 0, 0, 0, 0, 0, 0, 0
script-277.yaml, 1, 0, 0, 0, 0, 0, 1
script-490.yaml, 1, 0, 0, 0, 0, 0, 1
script-437.yaml, 0, 0, 0, 0, 0, 0, 0
script-679.yaml, 0, 0, 0, 0, 0, 0, 0
script-857.yaml, 0, 0, 0, 0, 0, 0, 0
script-492.yaml, 3, 0, 0, 0, 0, 0, 3
script-796.yaml, 0, 0, 0, 0, 0, 0, 0
script-899.yaml, 6, 0, 0, 0, 0, 0, 6
script-608.yaml, 1, 0, 0, 0, 0, 0, 1
script-612.yaml, 1, 0, 0, 0, 1, 0, 2
script-895.yaml, 0, 0, 0, 0, 0, 0, 0
script-795.yaml, 0, 0, 0, 0, 0, 0, 0
script-82.yaml, 0, 0, 0, 0, 0, 0, 0
script-65.yaml, 0, 0, 0, 0, 0, 0, 0
script-1022.yaml, 0, 0, 0, 0, 0, 0, 0
script-1032.yaml, 0, 0, 0, 0, 0, 0, 0
script-205.yaml, 0, 0, 0, 0, 0, 0, 0
script-689.yaml, 0, 0, 0, 0, 0, 0, 0
script-1089.yaml, 1, 0, 0, 0, 0, 0, 1
script-494.yaml, 1, 0, 0, 0, 0, 0, 1
script-192.yaml, 1, 0, 0, 0, 0, 0, 1
script-527.yaml, 0, 0, 0, 0, 0, 0, 0
script-2.yaml, 0, 0, 0, 0, 0, 0, 0
script-962.yaml, 0, 0, 0, 0, 0, 0, 0
script-466.yaml, 0, 0, 0, 0, 0, 0, 0
script-682.yaml, 0, 0, 0, 0, 0, 0, 0
script-417.yaml, 0, 0, 0, 0, 0, 0, 0
script-1060.yaml, 0, 0, 0, 0, 0, 0, 0
script-743.yaml, 0, 0, 0, 0, 0, 0, 0
script-4.yaml, 0, 0, 0, 0, 0, 0, 0
script-239.yaml, 0, 0, 0, 0, 0, 0, 0
script-354.yaml, 0, 0, 0, 0, 0, 0, 0
script-200.yaml, 0, 0, 0, 0, 0, 0, 0
script-309.yaml, 0, 0, 1, 0, 0, 0, 1
script-578.yaml, 1, 0, 0, 0, 3, 0, 4
script-126.yaml, 0, 0, 0, 0, 0, 0, 0
script-928.yaml, 1, 0, 0, 0, 0, 0, 1
script-835.yaml, 0, 0, 0, 0, 0, 0, 0
script-533.yaml, 1, 0, 0, 0, 0, 0, 1
script-190.yaml, 2, 0, 0, 0, 0, 0, 2
script-219.yaml, 0, 0, 0, 0, 0, 0, 0
script-343.yaml, 0, 0, 0, 0, 0, 0, 0
script-438.yaml, 0, 0, 0, 0, 0, 0, 0
script-151.yaml, 0, 0, 0, 0, 0, 0, 0
script-603.yaml, 0, 0, 0, 0, 0, 0, 0
script-410.yaml, 0, 0, 0, 0, 0, 0, 0
script-780.yaml, 0, 0, 0, 0, 0, 0, 0
script-37.yaml, 6, 0, 0, 0, 0, 0, 6
script-952.yaml, 0, 0, 0, 0, 0, 0, 0
script-582.yaml, 0, 0, 0, 0, 0, 0, 0
script-800.yaml, 1, 0, 0, 0, 0, 0, 1
script-194.yaml, 0, 0, 0, 0, 0, 0, 0
script-552.yaml, 0, 0, 0, 0, 4, 0, 4
script-94.yaml, 0, 0, 0, 0, 0, 0, 0
script-705.yaml, 2, 0, 0, 0, 0, 0, 2
script-949.yaml, 0, 0, 0, 0, 0, 0, 0
script-187.yaml, 0, 0, 0, 0, 0, 0, 0
script-83.yaml, 0, 0, 0, 0, 0, 0, 0
script-432.yaml, 0, 0, 0, 0, 0, 0, 0
script-890.yaml, 1, 0, 0, 1, 0, 0, 2
script-178.yaml, 1, 0, 0, 0, 0, 0, 1
script-1073.yaml, 0, 0, 0, 0, 0, 0, 0
script-702.yaml, 0, 0, 0, 0, 0, 0, 0
script-938.yaml, 1, 0, 0, 0, 0, 0, 1
script-28.yaml, 0, 0, 0, 0, 0, 0, 0
script-958.yaml, 0, 0, 0, 0, 0, 0, 0
script-1084.yaml, 0, 0, 0, 0, 0, 0, 0
script-947.yaml, 0, 0, 0, 0, 0, 0, 0
script-379.yaml, 3, 0, 0, 0, 0, 0, 3
script-716.yaml, 0, 0, 10, 1, 0, 0, 11
script-294.yaml, 0, 0, 0, 0, 0, 0, 0
script-550.yaml, 0, 0, 0, 0, 0, 0, 0
script-1009.yaml, 0, 0, 3, 0, 0, 0, 3
script-346.yaml, 0, 0, 0, 0, 0, 0, 0
script-923.yaml, 1, 0, 0, 0, 0, 0, 1
script-461.yaml, 0, 0, 0, 0, 0, 0, 0
script-84.yaml, 0, 0, 0, 0, 0, 0, 0
script-395.yaml, 2, 0, 0, 0, 0, 0, 2
script-904.yaml, 0, 0, 0, 0, 0, 0, 0
script-335.yaml, 0, 0, 0, 0, 0, 0, 0
script-416.yaml, 0, 0, 0, 0, 0, 0, 0
script-236.yaml, 0, 0, 0, 0, 0, 0, 0
script-661.yaml, 0, 0, 0, 0, 0, 0, 0
script-542.yaml, 1, 0, 0, 0, 0, 0, 1
script-370.yaml, 0, 0, 0, 0, 0, 0, 0
script-482.yaml, 0, 0, 0, 0, 0, 0, 0
script-694.yaml, 0, 0, 0, 0, 0, 0, 0
script-292.yaml, 0, 0, 0, 0, 0, 0, 0
script-278.yaml, 0, 0, 0, 0, 0, 0, 0
script-986.yaml, 0, 0, 0, 0, 0, 0, 0
script-74.yaml, 0, 0, 0, 0, 0, 0, 0
script-596.yaml, 1, 0, 0, 0, 0, 0, 1
script-1055.yaml, 0, 0, 0, 0, 0, 0, 0
script-415.yaml, 0, 0, 0, 0, 0, 0, 0
script-134.yaml, 0, 0, 0, 0, 0, 0, 0
script-783.yaml, 0, 0, 0, 0, 0, 0, 0
script-1044.yaml, 0, 0, 0, 0, 0, 0, 0
script-937.yaml, 1, 0, 0, 0, 0, 0, 1
script-325.yaml, 2, 0, 0, 0, 0, 0, 2
script-852.yaml, 0, 0, 0, 0, 0, 0, 0
script-272.yaml, 0, 0, 0, 0, 0, 0, 0
script-149.yaml, 0, 0, 0, 0, 0, 0, 0
script-235.yaml, 0, 0, 0, 0, 0, 0, 0
script-419.yaml, 0, 0, 0, 0, 0, 0, 0
script-833.yaml, 0, 0, 0, 0, 0, 0, 0
script-782.yaml, 0, 0, 0, 0, 0, 0, 0
script-57.yaml, 0, 0, 0, 0, 8, 0, 8
script-862.yaml, 2, 0, 0, 0, 0, 0, 2
script-233.yaml, 0, 0, 0, 0, 1, 0, 1
script-940.yaml, 1, 0, 0, 0, 0, 0, 1
script-434.yaml, 0, 0, 0, 0, 0, 0, 0
script-636.yaml, 0, 0, 0, 0, 0, 0, 0
script-430.yaml, 0, 0, 0, 0, 0, 0, 0
script-765.yaml, 0, 0, 0, 0, 0, 0, 0
script-855.yaml, 0, 0, 0, 0, 0, 0, 0
script-302.yaml, 0, 0, 0, 0, 0, 0, 0
script-941.yaml, 1, 0, 0, 0, 0, 0, 1
script-838.yaml, 0, 0, 0, 0, 0, 0, 0
script-1033.yaml, 0, 0, 0, 0, 0, 0, 0
script-160.yaml, 0, 0, 0, 0, 0, 0, 0
script-388.yaml, 0, 0, 0, 0, 0, 0, 0
script-350.yaml, 0, 0, 0, 0, 0, 0, 0
script-223.yaml, 0, 0, 0, 0, 0, 0, 0
script-781.yaml, 1, 0, 2, 1, 0, 3, 7
script-138.yaml, 0, 0, 0, 0, 0, 0, 0
script-43.yaml, 0, 0, 0, 0, 0, 0, 0
script-803.yaml, 0, 0, 1, 0, 0, 0, 1
script-100.yaml, 0, 0, 0, 0, 0, 0, 0
script-964.yaml, 0, 0, 0, 0, 0, 0, 0
script-452.yaml, 0, 0, 0, 0, 0, 0, 0
script-348.yaml, 0, 0, 0, 0, 0, 0, 0
script-1054.yaml, 0, 0, 0, 0, 0, 0, 0
script-842.yaml, 0, 0, 0, 0, 0, 0, 0
script-36.yaml, 1, 0, 0, 0, 0, 0, 1
script-512.yaml, 1, 0, 0, 0, 0, 0, 1
script-650.yaml, 0, 0, 0, 0, 0, 0, 0
script-983.yaml, 0, 0, 0, 0, 0, 0, 0
script-280.yaml, 0, 0, 0, 0, 0, 0, 0
script-1065.yaml, 0, 0, 0, 0, 0, 0, 0
script-258.yaml, 0, 0, 0, 0, 0, 0, 0
script-106.yaml, 9, 0, 0, 0, 1, 0, 10
script-209.yaml, 0, 0, 0, 0, 0, 0, 0
script-688.yaml, 0, 0, 0, 0, 0, 0, 0
script-914.yaml, 3, 0, 0, 0, 0, 0, 3
script-364.yaml, 0, 0, 0, 0, 0, 0, 0
script-404.yaml, 0, 0, 0, 0, 0, 0, 0
script-629.yaml, 0, 0, 0, 0, 0, 0, 0
script-544.yaml, 0, 0, 0, 0, 0, 0, 0
script-778.yaml, 0, 0, 0, 0, 0, 0, 0
script-810.yaml, 0, 0, 0, 0, 0, 0, 0
script-850.yaml, 0, 0, 0, 0, 0, 0, 0
script-787.yaml, 0, 0, 0, 0, 0, 0, 0
script-673.yaml, 1, 0, 0, 0, 0, 0, 1
script-514.yaml, 1, 0, 0, 0, 0, 0, 1
script-251.yaml, 0, 0, 0, 0, 0, 0, 0
script-951.yaml, 0, 0, 0, 0, 0, 0, 0
script-229.yaml, 0, 0, 0, 0, 0, 0, 0
script-797.yaml, 0, 0, 0, 0, 0, 0, 0
script-798.yaml, 0, 0, 0, 0, 0, 0, 0
script-476.yaml, 0, 0, 0, 0, 0, 0, 0
script-991.yaml, 0, 0, 0, 0, 0, 0, 0
script-1091.yaml, 1, 0, 0, 0, 0, 0, 1
script-863.yaml, 0, 0, 0, 0, 0, 0, 0
script-925.yaml, 1, 0, 0, 0, 0, 0, 1
script-508.yaml, 2, 0, 0, 0, 0, 0, 2
script-491.yaml, 0, 0, 0, 0, 0, 0, 0
script-1067.yaml, 0, 0, 0, 0, 0, 0, 0
script-115.yaml, 0, 0, 0, 0, 0, 0, 0
script-987.yaml, 0, 0, 0, 0, 0, 0, 0
script-631.yaml, 0, 0, 0, 0, 0, 0, 0
script-384.yaml, 0, 0, 0, 0, 0, 0, 0
script-979.yaml, 0, 0, 0, 0, 0, 0, 0
script-329.yaml, 0, 0, 0, 0, 0, 0, 0
script-10.yaml, 0, 0, 0, 0, 1, 0, 1
script-26.yaml, 0, 0, 0, 0, 0, 0, 0
script-684.yaml, 0, 0, 0, 0, 0, 0, 0
script-165.yaml, 2, 0, 0, 0, 0, 0, 2
script-830.yaml, 1, 0, 0, 0, 0, 1, 2
script-51.yaml, 0, 0, 0, 0, 0, 0, 0
script-478.yaml, 0, 0, 0, 0, 0, 0, 0
script-1013.yaml, 0, 0, 0, 0, 0, 0, 0
script-455.yaml, 0, 0, 0, 0, 0, 0, 0
script-505.yaml, 1, 0, 0, 0, 0, 0, 1
script-159.yaml, 0, 0, 0, 0, 0, 0, 0
script-78.yaml, 0, 0, 0, 0, 0, 0, 0
script-739.yaml, 0, 0, 0, 0, 0, 0, 0
script-412.yaml, 0, 0, 0, 0, 0, 0, 0
script-998.yaml, 0, 0, 0, 0, 0, 0, 0
script-834.yaml, 0, 0, 0, 0, 0, 0, 0
script-305.yaml, 0, 0, 0, 0, 0, 0, 0
script-177.yaml, 0, 0, 0, 0, 0, 0, 0
script-558.yaml, 1, 0, 0, 0, 0, 0, 1
script-766.yaml, 3, 0, 0, 0, 0, 0, 3
script-29.yaml, 0, 0, 0, 0, 0, 0, 0
script-499.yaml, 4, 0, 0, 0, 0, 0, 4
script-915.yaml, 0, 0, 0, 0, 0, 0, 0
script-528.yaml, 0, 0, 0, 0, 0, 0, 0
script-407.yaml, 0, 0, 0, 0, 0, 0, 0
script-373.yaml, 0, 0, 0, 0, 0, 0, 0
script-907.yaml, 6, 0, 0, 0, 0, 0, 6
script-1007.yaml, 0, 0, 0, 0, 1, 0, 1
script-396.yaml, 0, 0, 0, 0, 0, 0, 0
script-846.yaml, 0, 0, 0, 0, 0, 0, 0
script-853.yaml, 1, 0, 0, 0, 0, 0, 1
script-125.yaml, 0, 0, 0, 0, 0, 0, 0
script-333.yaml, 0, 0, 0, 0, 0, 0, 0
script-982.yaml, 0, 0, 0, 0, 0, 0, 0
script-42.yaml, 0, 0, 0, 0, 0, 0, 0
script-312.yaml, 0, 0, 0, 0, 0, 0, 0
script-662.yaml, 0, 0, 0, 0, 0, 0, 0
script-228.yaml, 0, 0, 0, 0, 0, 0, 0
script-163.yaml, 12, 0, 0, 0, 0, 0, 12
script-653.yaml, 0, 0, 0, 0, 0, 0, 0
script-713.yaml, 0, 0, 0, 0, 0, 0, 0
script-939.yaml, 1, 0, 0, 0, 0, 0, 1
script-296.yaml, 0, 0, 0, 0, 0, 0, 0
script-198.yaml, 0, 0, 0, 0, 0, 0, 0
script-573.yaml, 0, 0, 0, 0, 0, 0, 0
script-108.yaml, 0, 0, 0, 0, 0, 0, 0
script-299.yaml, 0, 0, 0, 0, 0, 0, 0
script-358.yaml, 0, 0, 0, 0, 0, 0, 0
script-248.yaml, 0, 0, 0, 0, 0, 0, 0
script-690.yaml, 0, 0, 0, 0, 0, 0, 0
script-726.yaml, 0, 0, 0, 0, 0, 0, 0
script-789.yaml, 0, 0, 0, 0, 0, 0, 0
script-506.yaml, 1, 0, 0, 0, 0, 0, 1
script-197.yaml, 0, 0, 0, 0, 0, 0, 0
script-801.yaml, 0, 0, 0, 0, 0, 0, 0
script-954.yaml, 0, 0, 0, 0, 0, 0, 0
script-570.yaml, 0, 0, 0, 0, 0, 0, 0
script-936.yaml, 1, 0, 0, 0, 0, 0, 1
script-210.yaml, 0, 0, 0, 0, 0, 0, 0
script-11.yaml, 0, 0, 0, 0, 0, 0, 0
script-55.yaml, 0, 0, 0, 0, 0, 0, 0
script-330.yaml, 0, 0, 0, 0, 0, 0, 0
script-6.yaml, 0, 0, 0, 0, 0, 0, 0
script-116.yaml, 1, 0, 0, 0, 0, 0, 1
script-77.yaml, 0, 0, 0, 0, 0, 0, 0
script-913.yaml, 1, 0, 0, 0, 0, 0, 1
script-626.yaml, 1, 0, 0, 0, 0, 0, 1
script-757.yaml, 0, 0, 0, 0, 0, 0, 0
script-681.yaml, 0, 0, 0, 0, 0, 0, 0
script-16.yaml, 0, 0, 0, 0, 0, 0, 0
script-35.yaml, 1, 0, 0, 0, 0, 0, 1
script-598.yaml, 0, 0, 0, 0, 0, 0, 0
script-54.yaml, 0, 0, 0, 0, 0, 0, 0
script-339.yaml, 56, 0, 0, 0, 0, 0, 56
script-202.yaml, 0, 0, 0, 0, 0, 0, 0
script-185.yaml, 0, 0, 0, 0, 0, 0, 0
script-621.yaml, 0, 0, 0, 0, 0, 0, 0
script-1068.yaml, 0, 0, 0, 0, 0, 0, 0
script-666.yaml, 1, 0, 0, 0, 0, 0, 1
script-207.yaml, 0, 0, 0, 0, 0, 0, 0
script-701.yaml, 13, 0, 0, 0, 0, 0, 13
script-670.yaml, 1, 0, 0, 0, 0, 0, 1
script-537.yaml, 3, 0, 0, 0, 0, 0, 3
script-397.yaml, 0, 0, 0, 0, 0, 0, 0
script-1006.yaml, 0, 0, 0, 0, 0, 0, 0
script-540.yaml, 0, 0, 0, 0, 0, 0, 0
script-816.yaml, 0, 0, 0, 0, 0, 0, 0
script-755.yaml, 0, 0, 0, 0, 1, 0, 1
script-467.yaml, 0, 0, 0, 0, 0, 0, 0
script-243.yaml, 0, 0, 0, 0, 0, 0, 0
script-968.yaml, 0, 0, 0, 0, 0, 0, 0
script-97.yaml, 0, 0, 0, 0, 0, 0, 0
script-171.yaml, 1, 0, 0, 0, 0, 0, 1
script-819.yaml, 0, 0, 0, 0, 0, 0, 0
script-611.yaml, 0, 0, 0, 0, 0, 0, 0
script-1040.yaml, 0, 0, 0, 0, 0, 0, 0
script-377.yaml, 0, 0, 0, 0, 0, 0, 0
script-500.yaml, 1, 0, 0, 0, 0, 0, 1
script-725.yaml, 0, 0, 0, 0, 0, 0, 0
script-95.yaml, 0, 0, 0, 0, 0, 0, 0
